,1. 航天桥西,2. 航天桥北,3. 花园桥北,4. 紫竹桥,5. 万寿寺,6. 为公桥,7. 苏州桥南,8. 三义庙,9. 四通桥西,10. 四通桥东,11. 大钟寺,12. 地铁大钟寺站,13. 蓟门桥西,14. 北太平桥西,15. 马甸桥东,16. 安华桥西,17. 安贞桥西,18. 安贞桥东,19. 和平西桥,20. 和平东桥,21. 太阳宫桥,22. 西坝河,23. 静安庄东,24. 三元桥南,25. 亮马桥,26. 白家庄,27. 呼家楼南,28. 大北窑北,29. 大北窑南,30. 双井桥北,31. 双井桥南,32. 潘家园桥北,33. 十里河桥北,34. 十里河桥南,35. 方庄桥东,36. 方庄桥西,37. 刘家窑桥,38. 木樨园桥东,39. 木樨园桥西,40. 洋桥西,41. 草桥,42. 玉泉营桥西,43. 夏家胡同,44. 丽泽桥,45. 西局,46. 六里桥南,47. 六里桥北里,48. 公主坟南,49. 玉渊潭西门,50. 航天桥南,51. 航天桥西
5.0,0.0,0.0,0.013482827135963668,0.02978821512656099,0.014182993150840784,0.04162775414202207,0.03347578347578348,0.01876876876876877,0.01876876876876877,0.014645577035735208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.020278336638648583,0.020351009256060194,0.02457137862465858,0.03177500050116309,0.03206802850748027,0.0203851173840904,0.01610722552919649,0.022334635915306104,0.04095313428300515,0.015333245652157337,0.028032221586368297,0.019408831908831907,0.023112808942116512,0.014985759752265388,0.01701271099848776,0.01734923620611035,0.03378378378378378,0.015942055415739623,0.01689189189189189,0.034514087245712144,0.052246603970741906,0.08460754332313965,0.03474903474903475,0.06435006435006435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.023990426500104564,0.03637263151524232,0.01988314266795105,0.03606363569273273,0.024181587884032338,0.03473694610776099,0.027544923944806465,0.03387125445030445,0.04324623847413528,0.01564357529011708,0.03593924799469887,0.04594398413863485,0.029954560412072673,0.022040341014010718,0.02832641983130471,0.030449900179439104,0.023474220346325486,0.04575274824643318,0.05522536543595413,0.030578504090534486,0.03974249093294983,0.02519819179253413,0.0209360554006473,0.03318935056430531,0.017595915113376808,0.021075643319700067,0.02793522519657544,0.02330694008611253,0.029482366249370937,0.019201228878648235,0.03631082062454612,0.0576036866359447,0.02170138888888889,0.04340277777777778,0.049900199600798396,0.07122507122507123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.024054392163850493,0.03294438522909182,0.027301924888567072,0.046468904288348,0.032751537143157754,0.0318259243297588,0.024521783446108128,0.041328377712391694,0.06585271802575858,0.015977617769375993,0.036620421590111356,0.038770162865949996,0.02708518068008887,0.031087504641290824,0.041983310301131026,0.036818326984252414,0.041309835518998035,0.029979029406000873,0.04664705882352941,0.056146417871379105,0.030526668903052667,0.0772400281733741,0.06161217973649216,0.05906344863809688,0.06150799688487213,0.02269400124955381,0.028595663587253854,0.014670841620778356,0.024340829529006347,0.01650751847547443,0.01666899840674857,0.04032318747798904,0.02805368900870843,0.02054737244501786,0.02054737244501786,0.02070135478207227,0.022573268187303274,0.05972084298797307,0.04522910081463779,0.013717421124828532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0582306720170161,0.06568168811918969,0.0347539890438772,0.04664351947304906,0.04166568037293794,0.04553211981303313,0.043504981800850995,0.04213464278464945,0.038246664979843956,0.019221623647193768,0.03390981378157928,0.05693402385384177,0.08077551602668599,0.025341099074430436,0.03540698840879051,0.02872714770415551,0.04054398918173648,0.02083439353108492,0.08016367066488313,0.05947657728304967,0.06799208566927101,0.05541451192649022,0.031356913345852375,0.05883038509732483,0.0454388385802239,0.04491052097210108,0.05882858640802069,0.026129169278399447,0.030133061383061387,0.041235211466628015,0.03251507321274764,0.05820577181989098,0.025297811987350982,0.04704192513637518,0.046584318570094145,0.03965636310078614,0.03625109096116609,0.04278097770706229,0.04128991246770621,0.03087880016374084,0.033202523637732795,0.027877560365716186,0.019653073514862136,0.04734750277603977,0.053242638722921835,0.0288209121712292,0.06203256396493111,0.0,0.0
7.5,0.0,0.0,0.05450858239776176,0.06549241947887822,0.041730426794748,0.06345025398717224,0.06001797253945526,0.052842546392031925,0.039338070521307285,0.03148709001560688,0.08562243642324087,0.03629942218307167,0.10341499709450837,0.11401774377073821,0.10167224208371056,0.051958463089543244,0.0515437733511454,0.05758251647767174,0.08497827199955038,0.07317410845144977,0.09026280279552869,0.070597434813875,0.07507953621464447,0.05223190027446053,0.06032586279829514,0.0744297456743695,0.02893071323512621,0.051950964084226926,0.07685052008357958,0.0724752358613549,0.040566046148483824,0.07175586794356847,0.07593098551344038,0.0789719514284941,0.08117617023028852,0.04076667484841046,0.03463050516911646,0.025525929562256505,0.02341426071741032,0.024868766404199476,0.015595302742329622,0.04226640433536985,0.04849484178346,0.02783860392975881,0.026929757988398362,0.05753356207430793,0.0642972489554141,0.037653777263528664,0.013848061204693713,0.0,0.0
8.0,0.0,0.0,0.036512486076208064,0.06041765011265087,0.04684882927580567,0.0837056225679737,0.06617472514612775,0.04650026077560071,0.03624434758080211,0.08975526677469288,0.07130667597741451,0.0622799845343725,0.07213930795481271,0.06482296995737225,0.07358108091129244,0.053690162150405944,0.10308712385454033,0.1285112407993764,0.09127152870777488,0.07474053246109623,0.07695952718435797,0.05016305843204038,0.10023515150084149,0.07420099094734119,0.06578693606466138,0.05894319073292623,0.06452514225597882,0.07034072530454494,0.08941426793026132,0.07706104746890242,0.03167756111043508,0.03256437221732852,0.09136968484904977,0.040023641204553796,0.0559443322026846,0.05368013128709732,0.08187890073662726,0.08297937530501238,0.04884263621506312,0.04569528746239098,0.04386340615973719,0.03440727751814865,0.028678510247516928,0.07966640472257712,0.0670281545795987,0.07545347611011487,0.03392276652485018,0.020890887510999243,0.010062023865704848,0.0,0.0
8.5,0.0,0.0,0.019876388736323115,0.039313380741909425,0.02700410064188104,0.07324089309383428,0.057637780415960654,0.054365488230947306,0.05241770133998456,0.06469401061048626,0.11242861394415932,0.037142827102405206,0.05859007237492613,0.05066387943431643,0.08982017573430474,0.035412386377218795,0.04272227578870046,0.09956838450096933,0.0706558473283299,0.06331139429965106,0.10689587957454509,0.10244162950292074,0.099646492032981,0.019182639624078304,0.028492566803329455,0.06236538989062801,0.0518628445890944,0.0698693314038719,0.1130639471617599,0.04683692441613769,0.0654423966813271,0.03193110484711028,0.06639932564571595,0.05705165803274,0.04427748699655284,0.05678084555765638,0.0554033123932973,0.04514180203507733,0.04304439146872982,0.049862102030101794,0.055330635313716035,0.035770832899419784,0.03736532432802732,0.044917688558916896,0.016832756494410628,0.0988319979538841,0.10564431749587438,0.1119207693173393,0.04005275116097209,0.0,0.0
9.0,0.0,0.0,0.015391998800257064,0.0347018770199299,0.016239182905849574,0.040932933081833246,0.028031860759522662,0.016205921226079816,0.02651343122907941,0.030892879730089032,0.05672115396997795,0.01310695931634529,0.0404526021080238,0.0423448384518389,0.0431824319991953,0.059333624701760825,0.03769995382659291,0.04497591693445411,0.06788997298127265,0.07202566571312907,0.11627931360206734,0.07481667689055059,0.11196898146482653,0.08694440182284713,0.06736867280666493,0.0628391970402581,0.07755112490628749,0.07495890501996816,0.016181229773462782,0.04429479031979153,0.011086710664931524,0.021430642022003506,0.030138637733574444,0.08910090188451784,0.09115020393497612,0.08034832789171654,0.10609872148797295,0.09192408752599712,0.09373203161180954,0.07241716237008235,0.07738473332122268,0.0671396057516373,0.09726235058375292,0.07145004773926696,0.049780610460929214,0.03537443207924548,0.082694116958339,0.03259116777012912,0.016621558414008655,0.0,0.0
9.5,0.0,0.0,0.020203637157022284,0.01991492309111003,0.018355417593278973,0.05087004943723448,0.03700316858211595,0.02694158324870641,0.035994029429282245,0.07136382136382136,0.09655103657342372,0.03792572685922082,0.03594412894998265,0.04396520989441344,0.07405665582277958,0.021914537310801823,0.026346317490776594,0.044174650497187655,0.07407325062623209,0.054221969922237545,0.050134027379419625,0.03419561472205929,0.07719391184563049,0.05980154586474531,0.06938215794909362,0.08098816409156699,0.06239258703352488,0.07310209786901513,0.10148654473143441,0.0574951079604308,0.054097944722203195,0.060094537084615464,0.0648628840207579,0.06930425461734861,0.049272630660504725,0.0422865669954303,0.09746962432139457,0.09302689210920377,0.07820184121036972,0.13036382414586548,0.13253658429710577,0.07163565314968176,0.04063455969809434,0.12007921617677715,0.11496890318114315,0.09458930631075961,0.0948358675533116,0.07971160482684163,0.027551130607871423,0.0,0.0
10.0,0.0,0.0,0.02075069512677045,0.027932692737673473,0.017384167517464726,0.03323437580983869,0.035989070648706774,0.02257518297148497,0.014682597631728607,0.026074083937515927,0.08040733935333806,0.012300247244000124,0.03717280330183556,0.0383121101442385,0.031969583595945684,0.015546064820118721,0.02823079965249414,0.025797373358348964,0.036971772445964265,0.04519314781463119,0.07494879144435314,0.04515157676736908,0.0538095524729294,0.0307628590736357,0.038718254119107266,0.05549522072537344,0.03316905812657461,0.06506250616167004,0.08441231588066195,0.07720917349738438,0.04926102253759455,0.05671557428622103,0.08860967955615946,0.07671751861677317,0.05374985144785319,0.09057771598969187,0.0830377898124762,0.0993183905758183,0.09302445002207978,0.11026351387247119,0.04123730246128945,0.07172529739345924,0.061793507637607555,0.0851750187977563,0.04939219687131328,0.06630456000379971,0.09155223111565626,0.05512755784166223,0.06802184170605224,0.0,0.0
10.5,0.0,0.0,0.015161199105748173,0.021688162625740953,0.01850351028046004,0.04769212277942703,0.020816144816758086,0.017218312767024724,0.023095468274130577,0.02799459094999261,0.07948367573731417,0.01074443379635924,0.023538501434944657,0.022585526966681063,0.02917727774598232,0.020173155614561993,0.02570779456995982,0.014155781945844742,0.04574172292003805,0.032566209239738485,0.023861548437904653,0.027200365190788,0.039746867766553735,0.027012820738765677,0.021156395474304035,0.045166742321213864,0.03538553401103337,0.06557773790162147,0.1019876238136682,0.046603002223080635,0.041551554414815534,0.046209081185025,0.0364466272383098,0.07370149557357851,0.04574660161353039,0.05229194733609279,0.0526295221630829,0.02721183598290684,0.027484936021521387,0.04312487798260156,0.030724084331807913,0.05594831050800941,0.08819421003715222,0.08087638026832068,0.0572712618122869,0.07165856329093985,0.08816281807571547,0.08903974326278523,0.04641130948495167,0.0,0.0
11.0,0.0,0.0,0.023258049110124232,0.022464956275720163,0.018490337291013684,0.024526115427504505,0.0251971890534316,0.019870096924891445,0.013356896268288674,0.023140501257384764,0.0743886028555955,0.014834886128744422,0.03147562946177165,0.032893415368360615,0.04652347497952559,0.039747814578332784,0.027024878352525355,0.03278396171941848,0.06139739974942696,0.05000367858557275,0.05418761647312755,0.02941307047016351,0.037751294250427704,0.0305300348627905,0.031966711974716774,0.031150690203088537,0.02727131819294873,0.05111703436126966,0.08398387781191152,0.02400886329743117,0.043414261861668586,0.0342473800460548,0.03772888353467572,0.032679738562091505,0.03789996768850558,0.05022475817238991,0.038781338902982444,0.07294677290877628,0.04604474564456305,0.04970213679232771,0.0818095234244924,0.0601806631842585,0.06583107665124784,0.04420624273369855,0.04335368268729475,0.07590627524488203,0.06632518622330688,0.03460990407927073,0.010588394440257316,0.0,0.0
11.5,0.0,0.0,0.015842354120792546,0.02095046423455887,0.01499543471897736,0.02966188893586944,0.036148798269371625,0.01706667760015367,0.02290709059201049,0.018832691743354567,0.03073102036269897,0.007312459773946946,0.015274940683946164,0.019722809625253555,0.06332419873753341,0.05520369241649143,0.059056366172077816,0.02807057080440774,0.02896813647337494,0.027663343341691776,0.01656603408727195,0.02722107712367236,0.022376904869855316,0.018036558204387848,0.08485255238396837,0.02602967685211399,0.011766736677296186,0.025601638504864313,0.040961196126797106,0.013592001719828368,0.019091256204658267,0.02010752079349939,0.026017065812205854,0.07265617127146239,0.03208490613044977,0.01760733300564787,0.03285947856394592,0.023277150641209568,0.021869573210098362,0.027826151485022963,0.028889489461260468,0.03185696056443753,0.03640954081402538,0.01409562996457252,0.013297468842412619,0.07303331194520228,0.06412884438577475,0.0670070806100218,0.02432466929005973,0.0,0.0
12.0,0.0,0.0,0.015038414527675922,0.01431273153185099,0.010533617562809836,0.021326906609232685,0.020216967744465398,0.01077748021958354,0.021267562890645176,0.021863284895275868,0.0410383843507632,0.0073400625648323,0.022419981888362316,0.025245605488572243,0.023717311211550334,0.01739949234422337,0.023974307490232494,0.024868436540647073,0.021204980960054378,0.030215410043760212,0.046186116589580654,0.02693381989196204,0.03586790940714146,0.016652511621374905,0.027451803893213025,0.0493048273062481,0.05213917213046717,0.05596442849353613,0.0735970570478834,0.05781590320469163,0.04516191494873998,0.04281210512713682,0.03788729748463999,0.040733522613093265,0.03972983182843376,0.022647381800527343,0.03571928084886189,0.020885045779668734,0.010477494363725,0.022853094070310432,0.018580602550926292,0.013712538762638962,0.019397161490016832,0.020810616212126164,0.02062102578811097,0.05137279608798285,0.04054274863098393,0.029651074641483418,0.013542582479377627,0.0,0.0
12.5,0.0,0.0,0.015549077046168681,0.02245668561458035,0.012575997592645763,0.029141124975028507,0.01799954456966298,0.021548733050325553,0.01474686492053983,0.020071791615587125,0.036585221567052816,0.012273615955483827,0.029778181673636616,0.018567347983634623,0.026709960380427365,0.011389866099692614,0.011247487803521155,0.02155922754311707,0.016148675160838954,0.019254285823637956,0.020461787551534518,0.02489185293428864,0.021891518730903906,0.020391637655375414,0.02394484998502215,0.022634885439763486,0.03671989089518393,0.05638541901252007,0.08475861600633929,0.04253322573331896,0.030360955557295122,0.03655460724588031,0.029247080598289354,0.04079037991484006,0.022281300949062985,0.022281300949062985,0.028509996435929885,0.02541616841939662,0.043473555094201484,0.04609538763014729,0.040362853459486286,0.04077108983150558,0.056882841813386396,0.03373067536016959,0.03660833641109865,0.026701350144630782,0.032658123062905386,0.032918261911910086,0.010561803299990472,0.0,0.0
13.0,0.0,0.0,0.010845362846096098,0.022321878228897973,0.017109440267335005,0.022685270744779152,0.018779966556387594,0.020648692505157513,0.01817131600687787,0.02909663816963563,0.05855582443234819,0.009838681869428554,0.023844573614570822,0.025973526242881333,0.03986588249603801,0.021666337979062183,0.027480356633961648,0.020571743163809997,0.019367476336162804,0.03327303049388459,0.024020241893353413,0.021607883718836984,0.029228256528908203,0.017027345194196273,0.027424948370098276,0.02233625958902585,0.028510119788346944,0.02781010337213924,0.035074107552912945,0.02258053960860774,0.02184391361809572,0.022940480084619394,0.02661072910188374,0.03146743186633282,0.020784340798559342,0.020308069764525396,0.014215580997461735,0.029315649310773656,0.029459339363283748,0.030219968701913496,0.08440755730408599,0.053283392797365346,0.055341703891725526,0.04810851672911682,0.06919214120292534,0.024509992757754593,0.03960340071451182,0.011445791748549003,0.006768245592062109,0.0,0.0
13.5,0.0,0.0,0.018477245285492293,0.022004285825226105,0.018146852623873267,0.02715133965133965,0.019074173485938196,0.01619438536045142,0.031219408439298654,0.02258912917417027,0.03231542801079225,0.011187214611872146,0.0581039755351682,0.01697710017773303,0.03426397069962662,0.011259282685595146,0.015557474999714932,0.015394878998930892,0.021832938093536477,0.015831245531503276,0.02291479557148493,0.013690068627919329,0.031279544232438644,0.021029768700899037,0.039443004015196535,0.13345350726554528,0.028067263882140477,0.03927833250770686,0.031418093010810146,0.013207849425951379,0.019521489255372313,0.03102243089531459,0.019464409628555463,0.035539533312912826,0.028393411632417265,0.025689257505190213,0.016726767957726568,0.021430636358958522,0.023295289227041552,0.018710160241271163,0.023720937182475643,0.027936432760526014,0.02858784595311541,0.01858671380324747,0.022762400037572638,0.024573628372634618,0.029011249259917108,0.02802623732856291,0.06715527906086739,0.0,0.0
